WHS,ZONE,TYPE,AISLE,COLUMN,SHELF,LOC
80,WH,,,,0,P369
80,WH,,,,0,P370
80,WH,,,,0,P371
80,WH,,,,0,P372
80,WH,,,,0,P373
80,WH,,,,0,P374
80,WH,,,,0,P375
80,WH,,,,0,P376
80,WH,,,,0,P377
80,WH,,,,0,P378
80,WH,,,,0,P379
80,WH,,,,0,P380
80,WH,,,,0,P381
80,WH,,,,0,P382
80,WH,,,,0,P383
80,WH,,,,0,P384
80,WH,,,,0,P385
80,WH,,,,0,P386
80,WH,,,,0,P387
80,WH,,,,0,P388
80,WH,,,,0,P389
80,WH,,,,0,P390
80,WH,,,,0,P391
80,WH,,,,0,P392
80,WH,,,,0,P393
80,WH,,,,0,P394
80,WH,,,,0,P395
80,WH,,,,0,P396
80,WH,,,,0,P397
80,WH,,,,0,P398
80,WH,,,,0,P399
80,WH,,,,0,P400
80,WH,,,,0,P401
80,WH,,,,0,P402
80,WH,,,,0,P403
80,WH,,,,0,P404
80,WH,,,,0,P405
80,WH,,,,0,P406
80,WH,,,,0,P407
80,WH,,,,0,P408
80,WH,,,,0,P409
80,WH,,,,0,P410
80,WH,,,,0,P411
80,WH,,,,0,P412
80,WH,,,,0,P413
80,WH,,,,0,P414
80,WH,,,,0,P415
80,WH,,,,0,P416
80,WH,,,,0,P417
80,WH,,,,0,P418
80,WH,,,,0,P419
80,WH,,,,0,P420
80,WH,,,,0,P421
80,WH,,,,0,P422
80,WH,,,,0,P423
80,WH,,,,0,P424
80,WH,,,,0,P425
80,WH,,,,0,P426
80,WH,,,,0,P427
80,WH,,,,0,P428
80,WH,,,,0,P429
80,WH,,,,0,P430
80,WH,,,,0,P431
80,WH,,,,0,P432
80,WH,,,,0,P433
80,WH,,,,0,P434
80,WH,,,,0,P435
80,WH,,,,0,P436
80,WH,,,,0,P437
80,WH,,,,0,P438
80,WH,,,,0,P439
80,WH,,,,0,P440
80,WH,,,,0,P441
80,WH,,,,0,P442
80,WH,,,,0,P443
80,WH,,,,0,P444
80,WH,,,,0,P445
80,WH,,,,0,P446
80,WH,,,,0,P447
80,WH,,,,0,P448
80,WH,,,,0,P449
80,WH,,,,0,P450
80,WH,,,,0,P451
80,WH,,,,0,P452
80,WH,,,,0,P453
80,WH,,,,0,P454
80,WH,,,,0,P455
80,WH,,,,0,P456
80,WH,,,,0,P457
80,WH,,,,0,P458
80,WH,,,,0,P459
80,WH,,,,0,P460
80,WH,,,,0,P461
80,WH,,,,0,P462
80,WH,,,,0,P463
80,WH,,,,0,P464
80,WH,,,,0,P465
80,WH,,,,0,P466
80,WH,,,,0,P467
80,WH,,,,0,P468
80,WH,,,,0,P469
80,WH,,,,0,P470
80,WH,,,,0,P471
80,WH,,,,0,P472
80,WH,,,,0,P473
80,WH,,,,0,P474
80,WH,,,,0,P475
80,WH,,,,0,P476
80,WH,,,,0,P477
80,WH,,,,0,P478
80,WH,,,,0,P479
80,WH,,,,0,P480
80,WH,,,,0,P481
80,WH,,,,0,P482
80,WH,,,,0,P483
80,WH,,,,0,P484
80,WH,,,,0,P485
80,WH,,,,0,P486
80,WH,,,,0,P487
80,WH,,,,0,P488
80,WH,,,,0,P489
80,WH,,,,0,P490
80,WH,,,,0,P491
80,WH,,,,0,P492
80,WH,,,,0,P493
80,WH,,,,0,P494
80,WH,,,,0,P495
80,WH,,,,0,P496
80,WH,,,,0,P497
80,WH,,,,0,P498
80,WH,,,,0,P499
80,WH,,,,0,P500
80,WH,,,,0,P501
80,WH,,,,0,P502
80,WH,,,,0,P503
80,WH,,,,0,P504
80,WH,,,,0,P505
80,WH,,,,0,P506
80,WH,,,,0,P507
80,WH,,,,0,P508
80,WH,,,,0,P509
80,WH,,,,0,P510
80,WH,,,,0,P511
80,WH,,,,0,P512
80,WH,,,,0,P513
80,WH,,,,0,P514
80,WH,,,,0,P515
80,WH,,,,0,P516
80,WH,,,,0,P517
80,WH,,,,0,P518
80,WH,,,,0,P519
80,WH,,,,0,P520
80,WH,,,,0,P521
80,WH,,,,0,P522
80,WH,,,,0,P523
