AISLE,IG,HTS,PLANNING,ABC,UOM,CAT,COSTX,QTYVAR,PESO,LARGO,ALTO,ANCHO,CONTRPERC,Cluster Labels
13,IG46,HTS119,1/1,B,PC,CAT17,0.0520391373919634,-0.03343470715686553,-0.31917522275655114,-0.8012056738916243,-0.9787043070156907,-0.2857021788771912,-0.19251503079206095,0
14,IG46,HTS119,1/1,C,PC,CAT17,0.45188687657963283,0.04963069904840081,-0.31917522275655114,-0.8012056738916243,-0.9787043070156907,-0.2857021788771912,-0.21609228763062732,0
14,IG46,HTS119,1/1,C,PC,CAT17,-0.41215189943940095,-0.1409230511266865,-0.31917522275655114,-0.8012056738916243,-0.9787043070156907,-0.2857021788771912,-0.21609228763062732,0
12,IG46,HTS119,1/1,A,PC,CAT17,-0.018108696203993732,-0.039234627610451475,-0.2907657777487806,-0.33611308958478864,-0.4329531524265208,-0.7668312058930901,-0.19251503079206095,0
2,IG46,HTS119,1/1,A,PC,CAT17,-0.13602890729773046,-0.046405438353066826,-0.2907657777487806,-0.33611308958478864,-0.4329531524265208,-0.7668312058930901,-0.19251503079206095,0
15,IG46,HTS119,1/1,A,PC,CAT17,-0.07706880175086209,-0.053048983599901636,-0.2907657777487806,-0.33611308958478864,-0.4329531524265208,-0.7668312058930901,-0.19251503079206095,0
16,IG46,HTS119,1/1,A,PC,CAT17,-0.08886082286023576,-0.04488691372521887,-0.2907657777487806,-0.33611308958478864,-0.4329531524265208,-0.7668312058930901,-0.19251503079206095,0
17,IG46,HTS119,1/1,A,PC,CAT17,-0.018108696203993732,-0.03797973573049379,-0.2907657777487806,-0.33611308958478864,-0.4329531524265208,-0.7668312058930901,-0.19251503079206095,0
14,IG46,HTS119,1/1,A,PC,CAT17,0.34744395818659,0.06621847154565662,-0.2907657777487806,-0.33611308958478864,-0.4329531524265208,-0.7668312058930901,-0.16893777395349455,0
14,IG46,HTS119,1/1,A,PC,CAT17,-1.4095672078761714,-0.09189790532901185,-0.2907657777487806,-0.33611308958478864,-0.4329531524265208,-0.7668312058930901,-0.16893777395349455,0
14,IG46,HTS119,1/1,A,PC,CAT17,1.5973982165462837,1.2395529246160086,-0.2907657777487806,-0.33611308958478864,-0.4329531524265208,-0.7668312058930901,-0.16893777395349455,0
12,IG46,HTS119,1/1,B,PC,CAT17,0.4889482114990741,0.04068827623996284,-0.2907657777487806,-0.33611308958478864,-0.4329531524265208,-0.7668312058930901,-0.19251503079206095,0
12,IG46,HTS119,1/1,B,PC,CAT17,0.9370450136552736,8.084418683049744,-0.2907657777487806,-0.33611308958478864,-0.4329531524265208,-0.7668312058930901,-0.19251503079206095,0
12,IG46,HTS119,1/1,B,PC,CAT17,-0.26574113950084083,-0.057815463681757724,-0.2907657777487806,-0.33611308958478864,-0.4329531524265208,-0.7668312058930901,-0.19251503079206095,0
3,IG46,HTS119,1/1,A,PC,CAT17,-0.14123342800312427,-0.044180377960872944,-0.2822384561824672,0.07560821455568886,-0.4329531524265208,-0.7668312058930901,-0.19251503079206095,0
17,IG46,HTS119,1/1,A,PC,CAT17,-1.5224974326839578,-0.13841326736677112,-0.2822384561824672,0.07560821455568886,-0.4329531524265208,-0.7668312058930901,-0.19251503079206095,0
99,IG46,HTS119,1/1,A,PC,CAT17,2.6969802728490238,0.3775582014941501,-0.2822384561824672,0.07560821455568886,-0.4329531524265208,-0.7668312058930901,-0.19251503079206095,0
3,IG46,HTS119,1/1,A,PC,CAT17,0.1804307919805481,-0.02012652604336469,-0.2822384561824672,0.07560821455568886,-0.4329531524265208,-0.7668312058930901,-0.12178326027636178,0
17,IG46,HTS119,1/1,A,PC,CAT17,0.40748788721807655,0.6675542241734473,-0.2822384561824672,0.07560821455568886,-0.4329531524265208,-0.7668312058930901,-0.12178326027636178,0
17,IG46,HTS119,1/1,A,PC,CAT17,0.10474507972398225,-0.03436269442943929,-0.2822384561824672,0.07560821455568886,-0.4329531524265208,-0.7668312058930901,-0.12178326027636178,0
12,IG46,HTS119,1/1,A,PC,CAT17,0.04798082148916355,-0.03459469124758272,-0.2822384561824672,0.07560821455568886,-0.4329531524265208,-0.7668312058930901,-0.19251503079206095,0
17,IG46,HTS119,1/1,A,PC,CAT17,-0.08446916976830557,-0.03986734620538813,-0.2822384561824672,0.07560821455568886,-0.4329531524265208,-0.7668312058930901,-0.19251503079206095,0
17,IG46,HTS119,1/1,A,PC,CAT17,0.5020950119642206,-0.012544448214040521,-0.2822384561824672,0.07560821455568886,-0.4329531524265208,-0.7668312058930901,-0.19251503079206095,0
17,IG46,HTS119,1/1,A,PC,CAT17,-0.4628976479867966,-0.055052592483867686,-0.2822384561824672,0.07560821455568886,-0.4329531524265208,-0.7668312058930901,-0.19251503079206095,0
3,IG46,HTS119,1/1,A,PC,CAT17,0.04798082148916355,-0.03391979141298363,-0.2822384561824672,0.07560821455568886,-0.4329531524265208,-0.7668312058930901,-0.16893777395349455,0
3,IG46,HTS119,1/1,A,PC,CAT17,-0.04662630325698037,-0.03986734620538813,-0.2822384561824672,0.07560821455568886,-0.4329531524265208,-0.7668312058930901,-0.16893777395349455,0
3,IG46,HTS119,1/1,A,PC,CAT17,-0.10339058225788363,-0.05224754004631522,-0.2822384561824672,0.07560821455568886,-0.4329531524265208,-0.7668312058930901,-0.0982060034377954,0
3,IG46,HTS119,1/1,A,PC,CAT17,-2.601018650636781,-0.1409230511266865,-0.2822384561824672,0.07560821455568886,-0.4329531524265208,-0.7668312058930901,-0.0982060034377954,0
17,IG46,HTS119,1/1,A,PC,CAT17,0.06690223397874161,-0.0003224340218475953,-0.2822384561824672,0.07560821455568886,-0.4329531524265208,-0.7668312058930901,-0.0982060034377954,0
17,IG46,HTS119,1/1,A,PC,CAT17,1.448166238659575,7.873512484737527,-0.2822384561824672,0.07560821455568886,-0.4329531524265208,-0.7668312058930901,-0.0982060034377954,0
3,IG46,HTS119,1/1,A,PC,CAT17,0.5967021367103644,0.002640798064439044,-0.2822384561824672,0.07560821455568886,-0.4329531524265208,-0.7668312058930901,-0.19251503079206095,0
17,IG46,HTS119,1/1,A,PC,CAT17,-0.19799770700402752,-0.1409230511266865,-0.2822384561824672,0.07560821455568886,-0.4329531524265208,-0.7668312058930901,-0.19251503079206095,0
99,IG46,HTS119,1/1,A,PC,CAT17,-0.42505480224155606,-0.1409230511266865,-0.2822384561824672,0.07560821455568886,-0.4329531524265208,-0.7668312058930901,-0.19251503079206095,0
14,IG46,HTS119,1/1,C,PR,CAT17,-1.7623225342384314,-0.1409230511266865,-0.30939124327520207,-0.7402099251300721,-0.37837803696760386,-0.04513766536924177,-0.21609228763062732,0
