AISLE,IG,HTS,PLANNING,ABC,UOM,CAT,COSTX,QTYVAR
21,IG52,HTS119,1/1,A,PC,CAT16,0.23826451287230013,0.059115541598080995
26,IG52,HTS119,1/1,A,PC,CAT16,0.11998900914202561,0.059115541598080995
10,IG14,HTS15,1/1,B,BX,CAT8,0.05014192216391645,0.059115541598080995
11,IG14,HTS15,1/1,B,BX,CAT8,0.012422819392270737,-0.05228647009425584
7,IG14,HTS15,1/1,C,BX,CAT8,0.012322144389551174,-0.06601601531904114
7,IG14,HTS15,1/1,C,BX,CAT8,0.05024259716663601,0.059115541598080995
10,IG14,HTS15,1/1,B,BX,CAT8,0.09247607779427694,0.059115541598080995
11,IG14,HTS15,1/1,B,BX,CAT8,-0.029911336238089743,-0.06969474514003623
37,IG14,HTS15,1/1,B,BX,CAT8,0.051680280160972134,0.059115541598080995
22,IG52,HTS119,1/0,C,BX,CAT16,2.4715678104282808,0.059115541598080995
13,IG52,HTS119,1/0,C,BX,CAT16,-2.251217550435775,-0.15985647155638946
13,IG52,HTS119,1/0,C,BX,CAT16,2.313782291991962,0.059115541598080995
15,IG52,HTS119,1/0,B,BX,CAT16,1.0077449235671847,0.01930642960659827
16,IG52,HTS119,1/0,B,BX,CAT16,2.402691421513757,0.059115541598080995
18,IG52,HTS119,1/0,C,BX,CAT16,0.22100921046977973,0.059115541598080995
18,IG52,HTS119,1/0,C,BX,CAT16,-0.15844446891359254,-0.15985647155638946
18,IG52,HTS119,1/0,C,BX,CAT16,0.22768617783108697,0.059115541598080995
18,IG52,HTS119,1/0,C,BX,CAT16,-0.16512143627489975,-0.15985647155638946
25,IG52,HTS119,1/0,C,PC,CAT16,-0.02948257991353533,-0.05427911541396152
15,IG52,HTS119,1/0,C,BX,CAT16,-0.13150067677097468,-0.06405621580130863
19,IG52,HTS119,1/0,C,BX,CAT16,0.5652647407127876,0.059115541598080995
8,IG14,HTS148,1/1,A,BX,CAT8,0.21781163798100983,0.059115541598080995
10,IG14,HTS148,1/1,A,BX,CAT8,-0.15524689642482264,-0.15985647155638946
11,IG14,HTS148,1/1,A,BX,CAT8,1.3369871778011504,0.059115541598080995
11,IG14,HTS148,1/1,A,BX,CAT8,-1.2744224362449632,-0.15985647155638946
7,IG14,HTS9,1/1,A,RL,CAT8,-0.019089977995517406,-0.10511346826777183
8,IG14,HTS9,1/1,A,RL,CAT8,-0.0694623267691284,-0.07226766629460127
9,IG14,HTS9,1/1,A,RL,CAT8,0.1320270683253156,0.059115541598080995
7,IG14,HTS15,1/1,C,BG,CAT8,-0.27065347956437397,-0.15985647155638946
7,IG14,HTS15,1/1,C,BG,CAT8,0.33321822112056115,0.4970595679070219
8,IG14,HTS15,1/1,C,BG,CAT8,0.4539925528045673,0.059115541598080995
8,IG14,HTS15,1/1,C,BG,CAT8,-0.3914278112483801,-0.15985647155638946
8,IG14,HTS15,2/0,C,BG,CAT8,0.1520567024620997,-0.0422575518917811
8,IG14,HTS15,1/1,B,BG,CAT8,-0.27065347956437397,-0.15985647155638946
10,IG14,HTS15,1/1,B,BG,CAT8,-0.21026631372237095,-0.15985647155638946
11,IG14,HTS15,1/1,B,BX,CAT8,0.10106310185600556,-0.03820656964842339
9,IG14,HTS15,1/1,B,BG,CAT8,0.09166953662009666,0.0043725383094633885
28,IG61,HTS6,1/1,B,BX,CAT14,0.5619032437915881,0.059115541598080995
31,IG61,HTS6,1/1,B,BX,CAT14,0.2081559880717743,0.059115541598080995
32,IG61,HTS6,1/1,B,BX,CAT14,-0.3224648849417201,-0.07774196662346303
32,IG61,HTS6,1/1,B,BX,CAT14,0.2081559880717743,0.059115541598080995
7,IG14,HTS15,1/1,B,BG,CAT8,-0.6329764957488446,-0.15985647155638946
7,IG14,HTS15,1/1,B,BG,CAT8,0.6955412373050318,1.1539756073704333
9,IG14,HTS15,1/1,C,BG,CAT8,-0.27065347956437397,-0.10511346826777183
8,IG14,HTS15,1/1,C,BG,CAT8,0.3936053869625642,0.059115541598080995
8,IG14,HTS15,1/1,C,BG,CAT8,-0.27065347956437397,-0.15985647155638946
28,IG61,HTS6,1/1,C,BX,CAT14,-0.3224648849417201,-0.15985647155638946
31,IG61,HTS6,1/1,C,BX,CAT14,0.3850296264979073,0.059115541598080995
9,IG14,HTS15,1/1,C,BG,CAT8,-0.029104795063909467,-0.05350176476726315
7,IG14,HTS15,1/1,B,BG,CAT8,-0.029104795063909467,-0.05680824216589565
8,IG14,HTS15,1/1,C,BG,CAT8,0.09166953662009666,0.059115541598080995
8,IG14,HTS15,1/1,C,BG,CAT8,-0.029104795063909467,-0.15985647155638946
28,IG61,HTS6,1/1,C,BX,CAT14,-0.1455912465155871,-0.15985647155638946
28,IG61,HTS6,1/1,C,BX,CAT14,-0.6762121406615338,-0.15985647155638946
31,IG61,HTS6,1/1,C,BX,CAT14,0.2081559880717743,0.059115541598080995
31,IG61,HTS6,1/1,C,BX,CAT14,-0.1455912465155871,-0.15985647155638946
10,IG14,HTS15,1/1,C,BG,CAT8,0.3936053869625642,0.059115541598080995
7,IG14,HTS15,1/1,B,BG,CAT8,0.8163155901214902,0.10777112292100433
10,IG14,HTS15,1/1,C,BG,CAT8,2.265607675991825,0.059115541598080995
10,IG14,HTS15,1/1,C,BG,CAT8,-2.203042934435638,-0.15985647155638946
9,IG14,HTS15,1/1,C,BG,CAT8,0.33321822112056115,0.059115541598080995
9,IG14,HTS15,1/1,A,BX,CAT8,1.2188967098231456,0.059115541598080995
9,IG14,HTS15,1/1,A,BX,CAT8,-0.2062404970309168,-0.07226766629460127
10,IG14,HTS15,1/1,A,BX,CAT8,-1.1563319682669582,-0.07317640014919231
7,IG14,HTS15,1/1,A,BX,CAT8,0.268805238587104,0.059115541598080995
7,IG14,HTS15,1/1,A,BX,CAT8,-0.2062404970309168,-0.060322742977024904
14,IG52,HTS119,1/1,C,PR,CAT16,0.035589418144651004,-0.03426507341164292
25,IG17,HTS94,1/1,B,BX,CAT12,-0.9372820336290867,-0.15985647155638946
25,IG17,HTS94,1/1,C,BX,CAT12,0.999846775185274,-0.012050362677121895
34,IG17,HTS94,1/1,B,BX,CAT12,-2.597678167545655,-0.15985647155638946
34,IG17,HTS94,1/1,B,BX,CAT12,2.9530352122514683,0.06520296356377528
8,IG16,HTS119,1/1,B,BG,CAT12,0.30252403153721213,-0.017053873177701545
8,IG16,HTS119,1/1,C,BG,CAT12,-0.4015115201112444,-0.15985647155638946
8,IG16,HTS119,1/1,C,BG,CAT12,-0.04509301675944787,-0.15985647155638946
8,IG16,HTS119,1/1,A,BG,CAT12,0.005823915309730536,-0.05767318161785581
9,IG16,HTS119,1/1,C,BG,CAT12,-1.7710661298141739,-0.15985647155638946
9,IG16,HTS119,1/1,B,BG,CAT12,-1.0630006617785186,-0.10854038027363931
8,IG16,HTS119,1/1,C,BG,CAT12,-2.4008495136717807,-0.15985647155638946
7,IG16,HTS15,1/0,C,BG,CAT12,0.01056259301435408,-0.05493603145342493
7,IG16,HTS15,1/1,C,BG,CAT12,0.13446368233949926,-0.022998963334845416
8,IG16,HTS15,1/1,C,BG,CAT12,0.11726679003511423,0.059115541598080995
10,IG16,HTS15,1/1,C,BG,CAT12,-1.2693003524584041,-0.14160515425996434
9,IG16,HTS15,1/1,B,BG,CAT12,-3.5191402377144514,-0.15985647155638946
8,IG16,HTS15,1/1,C,BG,CAT12,0.06500424906623638,-0.048093156042347734
15,IG16,HTS148,1/1,B,BG,CAT12,0.07524281653949719,-0.04834497385747537
7,IG16,HTS148,1/1,A,BG,CAT12,-0.011389270115371714,-0.051815680265973725
10,IG16,HTS148,1/1,C,BG,CAT12,-0.4147367793318522,-0.15985647155638946
16,IG16,HTS148,1/1,C,BG,CAT12,0.47730152088803945,0.059115541598080995
7,IG16,HTS15,1/1,B,BG,CAT12,-0.7852674286620515,-0.15985647155638946
8,IG16,HTS15,1/1,B,BG,CAT12,0.014951380706377334,-0.08686215097134672
