,AISLE,IG,HTS,PLANNING,ABC,UOM,CAT,COSTX,QTYVAR
126,99,IG46,HTS121,1/1,B,PR,CAT17,-0.15008231527670413,-0.14381364271215438
127,16,IG46,HTS121,1/1,A,PR,CAT17,0.10382824097352221,-0.029902574823290284
128,16,IG46,HTS121,1/1,A,PR,CAT17,-0.25436701556963714,-0.040842505300215416
129,13,IG46,HTS121,1/1,B,PR,CAT17,-0.04126349941733503,-0.04606607570811661
130,13,IG46,HTS121,1/1,B,PR,CAT17,-0.02766115271802697,-0.04516810343673737
131,15,IG46,HTS121,1/1,A,PR,CAT17,-0.04126349941733503,-0.03997738567291103
132,14,IG46,HTS121,1/1,B,PR,CAT17,-0.0049905748858468674,-0.03955030129993797
133,13,IG46,HTS121,1/1,B,PR,CAT17,-0.09730642477674659,-0.04823435021705672
134,13,IG46,HTS121,1/1,B,PR,CAT17,0.1715610683647114,0.0021944584378384125
135,12,IG46,HTS121,1/1,A,PR,CAT17,0.7969702247899243,2.356633950468773
136,15,IG46,HTS121,1/1,B,PR,CAT17,0.054662153709196554,-0.030318708314905053
137,15,IG46,HTS121,1/1,B,PR,CAT17,0.007902587846990624,-0.036166478960228406
138,15,IG46,HTS121,1/1,B,PR,CAT17,-0.009632254634449673,-0.06168203252502876
139,17,IG46,HTS121,1/1,A,PR,CAT17,-0.015477195084112345,-0.036801630079008836
140,13,IG46,HTS121,1/1,B,PR,CAT17,0.03712731122775626,-0.03369157977325635
141,14,IG46,HTS121,1/1,B,PR,CAT17,0.539792633680244,4.729328561723967
142,13,IG46,HTS119,1/1,A,BX,CAT17,-1.308255217642735,-0.0873618493102034
143,13,IG46,HTS119,1/1,A,BX,CAT17,0.6730755597302759,0.04750920549841519
144,14,IG46,HTS119,1/1,A,BX,CAT17,-0.46569595517316253,-0.14381364271215438
145,14,IG46,HTS119,1/1,A,BX,CAT17,0.43281451781287356,-0.008000812106723449
146,15,IG46,HTS119,1/1,A,BX,CAT17,0.08723358129455744,-0.03319879011213359
147,13,IG46,HTS119,1/1,A,BX,CAT17,-0.3669585236069057,-0.05029311591241401
148,16,IG46,HTS119,1/1,A,BX,CAT17,1.7591871167670312,0.17784659542470443
