AISLE,IG,HTS,PLANNING,ABC,UOM,CAT,COSTX,QTYVAR
14,IG46,HTS119,1/1,C,PC,CAT17,2036.1445,80.7
14,IG46,HTS119,1/1,C,PC,CAT17,-2124.6725,-100.0
12,IG46,HTS119,1/1,A,PC,CAT17,-227.14,-3.57
2,IG46,HTS119,1/1,A,PC,CAT17,-794.99,-10.37
15,IG46,HTS119,1/1,A,PC,CAT17,-511.065,-16.67
16,IG46,HTS119,1/1,A,PC,CAT17,-567.85,-8.93
17,IG46,HTS119,1/1,A,PC,CAT17,-227.14,-2.38
14,IG46,HTS119,1/1,A,PC,CAT17,1533.195,96.43
14,IG46,HTS119,1/1,A,PC,CAT17,-6927.7701,-53.51
14,IG46,HTS119,1/1,A,PC,CAT17,7552.4051,1209.09
12,IG46,HTS119,1/1,B,PC,CAT17,2214.615,72.22
12,IG46,HTS119,1/1,B,PC,CAT17,4372.445,7700.0
12,IG46,HTS119,1/1,B,PC,CAT17,-1419.625,-21.19
3,IG46,HTS119,1/1,A,PC,CAT17,-820.0526,-8.26
17,IG46,HTS119,1/1,A,PC,CAT17,-7471.5906,-97.62
99,IG46,HTS119,1/1,A,PC,CAT17,12847.4912,391.67
3,IG46,HTS119,1/1,A,PC,CAT17,728.9357,14.55
17,IG46,HTS119,1/1,A,PC,CAT17,1822.3392,666.67
17,IG46,HTS119,1/1,A,PC,CAT17,364.4678,1.05
12,IG46,HTS119,1/1,A,PC,CAT17,91.117,0.83
17,IG46,HTS119,1/1,A,PC,CAT17,-546.7018,-4.17
17,IG46,HTS119,1/1,A,PC,CAT17,2277.924,21.74
17,IG46,HTS119,1/1,A,PC,CAT17,-2369.0409,-18.57
3,IG46,HTS119,1/1,A,PC,CAT17,91.117,1.47
3,IG46,HTS119,1/1,A,PC,CAT17,-364.4678,-4.17
3,IG46,HTS119,1/1,A,PC,CAT17,-637.8187,-15.91
3,IG46,HTS119,1/1,A,PC,CAT17,-12665.2573,-100.0
17,IG46,HTS119,1/1,A,PC,CAT17,182.2339,33.33
17,IG46,HTS119,1/1,A,PC,CAT17,6833.7719,7500.0
3,IG46,HTS119,1/1,A,PC,CAT17,2733.5088,36.14
17,IG46,HTS119,1/1,A,PC,CAT17,-1093.4035,-100.0
99,IG46,HTS119,1/1,A,PC,CAT17,-2186.8070000000002,-100.0
14,IG46,HTS119,1/1,C,PR,CAT17,-8626.479,-100.0
14,IG46,HTS119,1/1,C,PR,CAT17,-718.8732,-3.33
14,IG46,HTS119,1/1,C,PR,CAT17,-179.7183,-2.31
16,IG46,HTS119,1/1,C,PR,CAT17,-5715.0423,-43.32
12,IG46,HTS119,1/1,C,PR,CAT17,35.9437,3.03
14,IG46,HTS119,1/1,C,PR,CAT17,-35.9437,-1.04
14,IG46,HTS119,1/1,C,PR,CAT17,2120.6761,50.0
15,IG46,HTS119,1/1,C,PR,CAT17,35.9437,0.42
12,IG46,HTS119,1/1,A,BX,CAT17,-1365.8483,-10.37
14,IG46,HTS119,1/1,A,BX,CAT17,5101.8452,1154.55
15,IG46,HTS119,1/1,A,BX,CAT17,-723.0962,-5.29
13,IG46,HTS119,1/1,A,BX,CAT17,-1847.9124,-31.29
17,IG46,HTS119,1/1,A,BX,CAT17,4941.1571,106.96
99,IG46,HTS119,1/1,A,BX,CAT17,-7632.6817,-100.0
12,IG46,HTS119,1/1,A,BX,CAT17,-6307.0054,-47.01
17,IG46,HTS119,1/1,A,BX,CAT17,11368.6786,673.81
16,IG46,HTS119,1/1,A,BX,CAT17,-1285.5043,-13.06
15,IG46,HTS121,1/1,B,PR,CAT17,-112.2185,-100.0
15,IG46,HTS121,1/1,B,PR,CAT17,-112.2185,-2.17
